Employee_ID,Attrition
0,Yes
1,No
2,Yes
3,No
4,No
5,No
6,No
7,No
8,No
9,No
10,No
11,No
12,No
13,No
14,Yes
15,No
16,No
17,No
18,No
19,No
20,No
21,Yes
22,No
23,No
24,Yes
25,No
26,Yes
27,No
28,No
29,No
30,No
31,No
32,No
33,Yes
34,Yes
35,No
36,Yes
37,No
38,No
39,No
40,No
41,No
42,Yes
43,No
44,No
45,Yes
46,No
47,No
48,No
49,No
50,Yes
51,Yes
52,No
53,No
54,No
55,No
56,No
57,No
58,No
59,No
60,No
61,No
62,No
63,No
64,No
65,No
66,No
67,No
68,No
69,Yes
70,No
71,No
72,No
73,No
74,No
75,No
76,No
77,No
78,No
79,No
80,No
81,No
82,No
83,No
84,No
85,No
86,No
87,No
88,No
89,Yes
90,No
91,No
92,No
93,No
94,No
95,No
96,No
97,No
98,No
99,No
100,Yes
101,No
102,Yes
103,No
104,No
105,No
106,No
107,Yes
108,No
109,No
110,No
111,Yes
112,No
113,No
114,No
115,No
116,No
117,No
118,No
119,No
120,No
121,No
122,Yes
123,No
124,Yes
125,No
126,Yes
127,Yes
128,No
129,No
130,No
131,No
132,Yes
133,No
134,No
135,No
136,Yes
137,No
138,No
139,No
140,Yes
141,No
142,No
143,No
144,No
145,No
146,No
147,No
148,No
149,No
150,No
151,No
152,No
153,No
154,No
155,No
156,No
157,No
158,No
159,No
160,No
161,No
162,No
163,No
164,No
165,No
166,No
167,No
168,No
169,No
170,No
171,Yes
172,No
173,No
174,No
175,No
176,No
177,Yes
178,No
179,No
180,No
181,No
182,Yes
183,No
184,No
185,No
186,No
187,No
188,No
189,No
190,No
191,No
192,Yes
193,No
194,No
195,No
196,No
197,No
198,No
199,No
200,No
201,No
202,No
203,No
204,Yes
205,Yes
206,No
207,No
208,No
209,No
210,Yes
211,No
212,No
213,No
214,Yes
215,No
216,Yes
217,Yes
218,No
219,No
220,No
221,No
222,No
223,No
224,No
225,No
226,No
227,No
228,No
229,Yes
230,No
231,No
232,No
233,No
234,Yes
235,No
236,Yes
237,No
238,No
239,Yes
240,No
241,No
242,No
243,No
244,No
245,No
246,No
247,No
248,No
249,No
250,Yes
251,No
252,No
253,No
254,No
255,No
256,No
257,No
258,No
259,Yes
260,No
261,No
262,No
263,No
264,Yes
265,No
266,No
267,No
268,No
269,No
270,No
271,Yes
272,No
273,No
274,No
275,No
276,No
277,No
278,No
279,No
280,No
281,No
282,No
283,No
284,No
285,No
286,Yes
287,No
288,Yes
289,No
290,No
291,No
292,No
293,Yes
294,No
295,No
296,Yes
297,No
298,No
299,No
300,No
301,No
302,No
303,No
304,No
305,No
306,No
307,No
308,No
309,No
310,No
311,No
312,No
313,No
314,No
315,No
316,No
317,Yes
318,No
319,No
320,No
321,No
322,No
323,Yes
324,No
325,No
326,No
327,Yes
328,No
329,No
330,No
331,No
332,No
333,No
334,No
335,No
336,Yes
337,No
338,No
339,No
340,No
341,No
342,No
343,No
344,No
345,No
346,No
347,No
348,No
349,No
350,No
351,No
352,No
353,No
354,No
355,No
356,No
357,Yes
358,No
359,No
360,No
361,No
362,No
363,Yes
364,No
365,No
366,Yes
367,No
368,Yes
369,No
370,Yes
371,No
372,No
373,No
374,No
375,No
376,No
377,No
378,Yes
379,No
380,No
381,No
382,Yes
383,No
384,No
385,Yes
386,No
387,No
388,No
389,No
390,No
391,No
392,No
393,No
394,No
395,No
396,No
397,No
398,No
399,No
400,No
401,No
402,No
403,No
404,No
405,Yes
406,No
407,No
408,No
409,No
410,No
411,No
412,No
413,No
414,Yes
415,Yes
416,No
417,No
418,No
419,No
420,No
421,Yes
422,Yes
423,No
424,No
425,No
426,No
427,No
428,No
429,No
430,No
431,No
432,No
433,No
434,No
435,Yes
436,Yes
437,No
438,No
439,Yes
440,Yes
441,No
442,No
443,Yes
444,No
445,No
446,No
447,No
448,No
449,No
450,No
451,No
452,No
453,Yes
454,No
455,No
456,No
457,Yes
458,No
459,No
460,No
461,No
462,No
463,Yes
464,No
465,No
466,No
467,No
468,No
469,Yes
470,No
471,No
472,No
473,No
474,No
475,No
476,No
477,No
478,No
479,Yes
480,Yes
481,No
482,Yes
483,No
484,No
485,No
486,No
487,No
488,No
489,No
490,No
491,No
492,No
493,No
494,No
495,Yes
496,No
497,No
498,No
499,No
500,No
501,No
502,No
503,No
504,Yes
505,No
506,No
507,No
508,No
509,No
510,No
511,No
512,No
513,Yes
514,Yes
515,No
516,No
517,No
518,No
519,No
520,No
521,No
522,No
523,No
524,No
525,Yes
526,No
527,No
528,Yes
529,No
530,No
531,No
532,No
533,No
534,No
535,No
536,No
537,No
538,No
539,No
540,Yes
541,No
542,No
543,No
544,No
545,No
546,No
547,Yes
548,No
549,No
550,No
551,No
552,No
553,No
554,No
555,No
556,No
557,No
558,No
559,No
560,No
561,No
562,Yes
563,No
564,No
565,No
566,Yes
567,No
568,Yes
569,No
570,No
571,No
572,No
573,Yes
574,No
575,No
576,No
577,No
578,No
579,No
580,No
581,No
582,No
583,No
584,No
585,Yes
586,No
587,No
588,No
589,Yes
590,No
591,Yes
592,No
593,No
594,No
595,Yes
596,No
597,No
598,Yes
599,No
600,No
601,No
602,No
603,No
604,No
605,No
606,No
607,Yes
608,Yes
609,No
610,No
611,No
612,No
613,No
614,Yes
615,No
616,No
617,No
618,No
619,No
620,No
621,No
622,No
623,No
624,No
625,No
626,No
627,No
628,No
629,No
630,No
631,No
632,No
633,No
634,No
635,No
636,Yes
637,No
638,No
639,No
640,No
641,No
642,No
643,No
644,No
645,Yes
646,No
647,No
648,No
649,No
650,No
651,No
652,No
653,No
654,No
655,No
656,Yes
657,No
658,No
659,No
660,Yes
661,No
662,Yes
663,Yes
664,No
665,No
666,Yes
667,Yes
668,No
669,Yes
670,No
671,No
672,No
673,No
674,No
675,No
676,No
677,No
678,No
679,No
680,No
681,No
682,No
683,Yes
684,No
685,No
686,No
687,No
688,Yes
689,Yes
690,No
691,No
692,No
693,Yes
694,No
695,Yes
696,No
697,No
698,No
699,No
700,Yes
701,No
702,No
703,No
704,No
705,No
706,Yes
707,No
708,No
709,Yes
710,No
711,Yes
712,No
713,No
714,No
715,No
716,No
717,No
718,No
719,No
720,Yes
721,No
722,No
723,No
724,No
725,Yes
726,No
727,No
728,No
729,No
730,No
731,Yes
732,Yes
733,No
734,No
735,No
736,No
737,No
738,No
739,No
740,No
741,No
742,No
743,No
744,Yes
745,No
746,No
747,No
748,Yes
749,Yes
750,No
751,No
752,Yes
753,No
754,No
755,No
756,No
757,No
758,No
759,No
760,No
761,Yes
762,Yes
763,No
764,No
765,No
766,No
767,No
768,No
769,No
770,No
771,No
772,No
773,No
774,No
775,No
776,Yes
777,Yes
778,No
779,Yes
780,Yes
781,No
782,No
783,No
784,No
785,No
786,No
787,No
788,No
789,Yes
790,No
791,Yes
792,Yes
793,No
794,No
795,No
796,Yes
797,Yes
798,Yes
799,No
800,Yes
801,Yes
802,No
803,No
804,No
805,No
806,No
807,No
808,No
809,No
810,No
811,No
812,No
813,Yes
814,No
815,No
816,No
817,No
818,No
819,No
820,No
821,No
822,No
823,No
824,No
825,No
826,No
827,No
828,Yes
829,Yes
830,No
831,Yes
832,No
833,No
834,No
835,No
836,Yes
837,No
838,Yes
839,No
840,No
841,No
842,Yes
843,No
844,No
845,No
846,No
847,No
848,No
849,Yes
850,No
851,No
852,No
853,No
854,No
855,No
856,No
857,Yes
858,No
859,No
860,Yes
861,No
862,No
863,No
864,Yes
865,No
866,No
867,No
868,No
869,No
870,No
871,Yes
872,No
873,No
874,No
875,No
876,No
877,No
878,No
879,No
880,No
881,No
882,No
883,No
884,No
885,No
886,No
887,No
888,No
889,No
890,No
891,No
892,Yes
893,No
894,No
895,No
896,No
897,No
898,No
899,No
900,No
901,No
902,No
903,No
904,No
905,No
906,No
907,No
908,No
909,No
910,No
911,Yes
912,No
913,Yes
914,No
915,Yes
916,No
917,No
918,No
919,No
920,No
921,No
922,No
923,No
924,No
925,No
926,No
927,No
928,Yes
929,No
930,No
931,No
932,Yes
933,No
934,No
935,No
936,No
937,No
938,No
939,Yes
940,Yes
941,No
942,No
943,No
944,No
945,No
946,Yes
947,Yes
948,No
949,No
950,No
951,No
952,Yes
953,Yes
954,No
955,No
956,No
957,No
958,No
959,No
960,No
961,No
962,No
963,No
964,No
965,No
966,Yes
967,No
968,No
969,No
970,No
971,No
972,No
973,No
974,No
975,Yes
976,No
977,No
978,No
979,No
980,Yes
981,Yes
982,No
983,No
984,No
985,Yes
986,No
987,No
988,No
989,No
990,No
991,No
992,No
993,No
994,No
995,No
996,No
997,Yes
998,No
999,No
1000,No
1001,No
1002,No
1003,No
1004,No
1005,No
1006,Yes
1007,Yes
1008,No
1009,No
1010,No
1011,No
1012,Yes
1013,No
1014,No
1015,No
1016,Yes
1017,No
1018,No
1019,No
1020,No
1021,Yes
1022,No
1023,No
1024,No
1025,No
1026,No
1027,No
1028,No
1029,No
1030,No
1031,Yes
1032,Yes
1033,Yes
1034,No
1035,No
1036,Yes
1037,No
1038,No
1039,Yes
1040,No
1041,No
1042,No
1043,No
1044,No
1045,No
1046,No
1047,No
1048,No
1049,No
1050,No
1051,No
1052,No
1053,No
1054,No
1055,No
1056,Yes
1057,Yes
1058,Yes
1059,No
1060,Yes
1061,No
1062,No
1063,No
1064,No
1065,No
1066,No
1067,No
1068,Yes
1069,No
1070,No
1071,No
1072,No
1073,No
1074,No
1075,No
1076,No
1077,Yes
1078,No
1079,No
1080,No
1081,No
1082,No
1083,Yes
1084,No
1085,Yes
1086,No
1087,No
1088,No
1089,No
1090,No
1091,No
1092,No
1093,No
1094,No
1095,No
1096,No
1097,No
1098,No
1099,No
1100,No
1101,No
1102,No
1103,No
1104,No
1105,No
1106,Yes
1107,No
1108,No
1109,No
1110,Yes
1111,Yes
1112,Yes
1113,No
1114,No
1115,No
1116,No
1117,No
1118,No
1119,No
1120,No
1121,No
1122,No
1123,No
1124,No
1125,No
1126,No
1127,No
1128,No
1129,No
1130,No
1131,No
1132,No
1133,No
1134,No
1135,No
1136,Yes
1137,No
1138,No
1139,No
1140,No
1141,No
1142,No
1143,No
1144,No
1145,No
1146,No
1147,No
1148,No
1149,No
1150,No
1151,No
1152,No
1153,Yes
1154,No
1155,No
1156,No
1157,No
1158,No
1159,No
1160,No
1161,No
1162,Yes
1163,No
1164,No
1165,No
1166,No
1167,Yes
1168,No
1169,No
1170,No
1171,Yes
1172,No
1173,No
1174,No
1175,No
1176,No
1177,No
1178,No
1179,No
1180,No
1181,No
1182,No
1183,No
1184,No
1185,No
1186,Yes
1187,No
1188,No
1189,No
1190,No
1191,No
1192,No
1193,No
1194,No
1195,No
1196,No
1197,No
1198,No
1199,No
1200,No
1201,Yes
1202,No
1203,No
1204,Yes
1205,Yes
1206,No
1207,No
1208,No
1209,No
1210,No
1211,No
1212,No
1213,Yes
1214,No
1215,No
1216,No
1217,No
1218,No
1219,No
1220,No
1221,No
1222,Yes
1223,Yes
1224,No
1225,No
1226,No
1227,No
1228,No
1229,No
1230,No
1231,No
1232,No
1233,No
1234,No
1235,No
1236,Yes
1237,Yes
1238,No
1239,No
1240,No
1241,No
1242,No
1243,No
1244,No
1245,No
1246,Yes
1247,No
1248,No
1249,Yes
1250,No
1251,No
1252,No
1253,No
1254,No
1255,Yes
1256,No
1257,Yes
1258,No
1259,No
1260,No
1261,No
1262,Yes
1263,No
1264,No
1265,No
1266,No
1267,No
1268,No
1269,No
1270,No
1271,Yes
1272,No
1273,Yes
1274,No
1275,No
1276,No
1277,No
1278,No
1279,Yes
1280,No
1281,Yes
1282,No
1283,No
1284,No
1285,No
1286,No
1287,No
1288,No
1289,No
1290,Yes
1291,Yes
1292,No
1293,No
1294,No
1295,No
1296,No
1297,Yes
1298,Yes
1299,No
1300,No
1301,No
1302,No
1303,No
1304,No
1305,No
1306,No
1307,No
1308,No
1309,No
1310,No
1311,No
1312,Yes
1313,Yes
1314,No
1315,No
1316,No
1317,No
1318,No
1319,No
1320,No
1321,No
1322,No
1323,No
1324,No
1325,No
1326,Yes
1327,No
1328,No
1329,No
1330,No
1331,No
1332,Yes
1333,Yes
1334,No
1335,No
1336,No
1337,No
1338,Yes
1339,Yes
1340,No
1341,No
1342,No
1343,No
1344,No
1345,No
1346,No
1347,No
1348,No
1349,No
1350,No
1351,No
1352,No
1353,Yes
1354,Yes
1355,No
1356,No
1357,No
1358,No
1359,No
1360,No
1361,No
1362,No
1363,No
1364,No
1365,Yes
1366,No
1367,No
1368,No
1369,Yes
1370,No
1371,No
1372,No
1373,No
1374,No
1375,Yes
1376,No
1377,No
1378,No
1379,Yes
1380,No
1381,No
1382,No
1383,No
1384,No
1385,No
1386,No
1387,No
1388,No
1389,No
1390,Yes
1391,No
1392,No
1393,No
1394,No
1395,Yes
1396,Yes
1397,No
1398,No
1399,No
1400,No
1401,No
1402,No
1403,No
1404,No
1405,No
1406,No
1407,No
1408,No
1409,No
1410,No
1411,No
1412,No
1413,No
1414,No
1415,No
1416,No
1417,No
1418,No
1419,No
1420,No
1421,No
1422,No
1423,No
1424,No
1425,No
1426,No
1427,No
1428,No
1429,No
1430,No
1431,No
1432,No
1433,No
1434,No
1435,No
1436,No
1437,No
1438,Yes
1439,No
1440,No
1441,No
1442,Yes
1443,No
1444,Yes
1445,No
1446,No
1447,No
1448,No
1449,No
1450,No
1451,No
1452,Yes
1453,No
1454,No
1455,No
1456,No
1457,No
1458,No
1459,No
1460,No
1461,Yes
1462,No
1463,No
1464,No
1465,No
1466,No
1467,No
1468,No
1469,No
